Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_416242856,Yes,1992060,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_372249928,Yes,1975320,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HV_79931,Yes,1953000,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_483978263,Yes,1951140,0,0,$ 0.00,$ 0.00,$ 20.00,0.00 %
16,Google DV360,VDMY_273988105,Yes,1917660,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_OM_62186,Yes,1902780,1860,844,$ 3.80,$ 4.63,$ 4.50,0.04 %
16,Google DV360,VDMY_349534866,Yes,1902780,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_376890377,Yes,1873020,0,345,$ 1.55,$ 0.00,$ 4.50,0.02 %
16,Google DV360,VDMY_429810781,Yes,1826520,1860,652,$ 2.61,$ 4.12,$ 4.00,0.04 %
16,Google DV360,VDMY_HV_70199,Yes,1813500,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_281516485,Yes,1757700,0,0,$ 0.00,$ 0.00,$ 5.39,0.00 %
16,Google DV360,VDMY_444459379,Yes,1727940,0,0,$ 0.00,$ 0.00,$ 6.70,0.00 %
16,Google DV360,VDMY_512451297,Yes,1677720,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_391979656,Yes,1659120,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_364538276,Yes,1638660,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_283047258,Yes,1633080,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_390098412,Yes,1616340,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_407858666,Yes,1581000,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_374694935,Yes,1486140,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_HV_63219,Yes,1443360,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_PR_43199,Yes,1441500,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_264326393,Yes,1439640,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_514022766,Yes,1439640,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_512691653,Yes,1435920,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_410210384,Yes,1385700,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_264796581,Yes,1378260,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
